Reference,Qty,Value,Package,Footprint,LCSC,Notes
U1,1,TXS0104EPWR,TSSOP-14,TSSOP-14_4.4x5mm_P0.65mm,C44955,"Level translator. A-side=1.8V (Rock), B-side=3.3V (camera). VCCA<=VCCB."
U2,1,XC6206P182MR,SOT-23,SOT-23-3,C347373,"1.8V fixed LDO. IN=VCC_3V3, OUT=VCC_1V8 (feeds U1 VCCA only)."
C1,1,1uF,0402,C_0402_1005Metric,generic,"U2 input cap, adjacent to U2"
C2,1,1uF,0402,C_0402_1005Metric,generic,"U2 output cap, adjacent to U2 (REQUIRED for LDO stability)"
C3,1,100nF,0402,C_0402_1005Metric,generic,"U1 VCCA decoupling, adjacent to pin 1"
C4,1,100nF,0402,C_0402_1005Metric,generic,"U1 VCCB decoupling, adjacent to pin 14"
C5,1,100nF,0402,C_0402_1005Metric,generic,"camera-side 3.3V decoupling (placed at island exit, see README)"
C6,1,4.7uF,0603,C_0603_1608Metric,generic,"camera-side bulk (placed at island exit, see README)"
R1,1,10k,0402,R_0402_1005Metric,generic,"U1 OE pull-up to VCCA (deliberate deviation from datasheet pulldown)"
R2,1,0R,0402,R_0402_1005Metric,generic,"series insurance in SCL, populate 0R"
R3,1,0R,0402,R_0402_1005Metric,generic,"series insurance in SDA, populate 0R"
R4,1,0R,0402,R_0402_1005Metric,generic,"series insurance in CAM_EN, populate 0R"
TP1,1,XVS_1V8,1.5mm pad,TestPoint_Pad_1.5x1.5mm,,"XVS sync spare, A-side of U1 ch4"
TP2,1,XVS_3V3,1.5mm pad,TestPoint_Pad_1.5x1.5mm,,"XVS sync spare, B-side of U1 ch4"
TP3,1,RST_TP,1.5mm pad,TestPoint_Pad_1.5x1.5mm,,"reset breakout pad (with JP1)"
JP1,1,Open,solder jumper,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,"optional J1.27 CM_RST_L_1 breakout, OPEN by default"
J1,1,Rock5B_CAM0_31P,bare fingers,Flex_Finger_31P_0.3mm,,"no connector mounted - gold fingers, dims PLACEHOLDER"
J2,1,RPi_Cam_15P,bare fingers,Flex_Finger_15P_1.0mm,,"no connector mounted - gold fingers, dims PLACEHOLDER"
